ymin	ymax	clickSelects	PANEL	group
0.045454545454544	0.0629370629370615	1960	1	1
0.0629370629370615	0.0804195804195791	1961	1	1
0.0804195804195791	0.0979020979020966	1962	1	1
0.0979020979020966	0.115384615384614	1963	1	1
0.115384615384614	0.132867132867132	1964	1	1
0.132867132867132	0.150349650349649	1965	1	1
0.150349650349649	0.167832167832167	1966	1	1
0.167832167832167	0.185314685314684	1967	1	1
0.185314685314684	0.202797202797202	1968	1	1
0.202797202797202	0.220279720279719	1969	1	1
0.220279720279719	0.237762237762237	1970	1	1
0.237762237762237	0.255244755244754	1971	1	1
0.255244755244754	0.272727272727272	1972	1	1
0.272727272727272	0.29020979020979	1973	1	1
0.29020979020979	0.307692307692307	1974	1	1
0.307692307692307	0.325174825174825	1975	1	1
0.325174825174825	0.342657342657342	1976	1	1
0.342657342657342	0.36013986013986	1977	1	1
0.36013986013986	0.377622377622377	1978	1	1
0.377622377622377	0.395104895104895	1979	1	1
0.395104895104895	0.412587412587412	1980	1	1
0.412587412587412	0.43006993006993	1981	1	1
0.43006993006993	0.447552447552447	1982	1	1
0.447552447552447	0.465034965034965	1983	1	1
0.465034965034965	0.482517482517482	1984	1	1
0.482517482517482	0.5	1985	1	1
0.5	0.517482517482518	1986	1	1
0.517482517482518	0.534965034965035	1987	1	1
0.534965034965035	0.552447552447553	1988	1	1
0.552447552447553	0.56993006993007	1989	1	1
0.56993006993007	0.587412587412588	1990	1	1
0.587412587412588	0.604895104895105	1991	1	1
0.604895104895105	0.622377622377623	1992	1	1
0.622377622377623	0.63986013986014	1993	1	1
0.63986013986014	0.657342657342658	1994	1	1
0.657342657342658	0.674825174825175	1995	1	1
0.674825174825175	0.692307692307693	1996	1	1
0.692307692307693	0.70979020979021	1997	1	1
0.70979020979021	0.727272727272728	1998	1	1
0.727272727272728	0.744755244755246	1999	1	1
0.744755244755246	0.762237762237763	2000	1	1
0.762237762237763	0.779720279720281	2001	1	1
0.779720279720281	0.797202797202798	2002	1	1
0.797202797202798	0.814685314685316	2003	1	1
0.814685314685316	0.832167832167833	2004	1	1
0.832167832167833	0.849650349650351	2005	1	1
0.849650349650351	0.867132867132868	2006	1	1
0.867132867132868	0.884615384615386	2007	1	1
0.884615384615386	0.902097902097903	2008	1	1
0.902097902097903	0.919580419580421	2009	1	1
0.919580419580421	0.937062937062938	2010	1	1
0.937062937062938	0.954545454545456	2011	1	1